"name","sku","description","type"
"Angel In Prayer Card","AN-PRY-PL","Angel In Prayer Greeting Card","Greeting Card With Matching Envelope."
"The Golden Path Card","GLD-PA-PL","A Golden Path in The Forest Card","
Greeting Card With Matching Envelope"
"Bill Dan Golden Gate Card","BD-GG1-PL","Rock Sculpture by Bill Dan with the Golden Gate in the Distance.","
Greeting Card With White Envelope"
"Rock Sculpture by Bill Dan Card","BD-SG-PL","Free-Standing Rock Sculpture With Seagull Landing, by Bill Dan","
Greeting Card With Matching Envelope"
"Blush Rose Card","BL-ROS-PL","Greeting Card With White Envelope",""
"Lord Brahma Card","BRA-SWA-PL","Lord Brahma, Creator of The Universe, Riding His Swan Card","Greeting Card With Matching Envelope"
"White Tara Embellished Print","WT-CL-EMB-PR","Goddess of Health, Long Life and Prosperity - Tara was born of a tear of Avalokiteshwara. She is the Mother of Compassion who answers all prayers. Tara appears in as many as 21 different forms and colors, of which White and Green are the oldest. Tara offers health, long life, growth, prosperity and protection to all who call on her.","
Custom Print, Hand-Embellished With Glitter and Crystals"
"Lord Brahma Card","BRAM-PL","Lord Brahma Creator of The Universe Card","
Greeting Card With Matching Envelope"
"Mary Embellished Card","MAR-HT-1-EMB","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope",""
"Immaculate Mary Card","MAR-IM-PL","Immaculate Mary Card","
Greeting Card With Matching Envelope"
"Immaculate Mary Embellished Card","MAR-IM-EMB","""O Virgin Mary, My Mother. I give to your Immaculate Heart, my body and my soul, my thoughts and my actions. I want to be what you want me to be, and do just what you want me to do. I am not afraid because you are always with me. Help me to love your Son Jesus, with all my heart. And above all things, take my hand in yours so I can always be with you. Amen.""","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Lord Brahma Embellished Card","BRAM-EMB","Lord Brahma is the Creator of the Universe, the Supreme Being, the God of gods. He is the originator and the generator of mankind, and symbolizes the universal mind and the intellect. Brahma uses the swan as His vehicle. A swan possesses exceptional discernment which enables it to distinguish pure milk from a mixture of milk and water. This conveys the idea that there is only one Supreme Reality from which the entire universe emanates.","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Ganapati Card","GAN-BLK-PL","Ganapati, Lord of Obstacles Card","
Greeting Card With Matching Envelope"
"Lord Ganesh Embellished Card","GAN-BLK-EMB","Remover of Obstacles - In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","
Greeting Card Hand-embellished With Glitter and Crystals, With Matching Envelope"
"Lord Ganesh Embellished Card","GAN-BL-EMB","In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
