"Handle","Title","Body","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Grams","Variant Inventory Tracker","Variant Inventory Quantity","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare at Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","SEO Title ","SEO Description","Collection"
"AN-PRY-PL","Angel In Prayer Card","Angel In Prayer Greeting Card","AN-PRY-PL","Greeting Card With Matching Envelope.","Prayer, Angel, Angel in Prayer, Heavenly Messenger, Angel praying, Angelic Host
","","Category1","Plain Cards","Category2","Angel Cards","","","0.1","","996","deny","manual","3.5","","1","1","","AN-PRY752.jpg","","","","AN-PRYb751.jpg","lb","","","",""
"GLD-PA-PL","The Golden Path Card","A Golden Path in The Forest Card","GLD-PA-PL","
Greeting Card With Matching Envelope","paths, journeys, footpath, travel, forest, gold, gold color, trees, woods, ","","Category1","Plain Cards","Category2","Nature Cards","","","0.1","","998","deny","manual","3.5","","1","1","","GLD-PA335.jpg","","","","GLD-PAb336.jpg","lb","","","",""
"BD-GG1-PL","Bill Dan Golden Gate Card","Rock Sculpture by Bill Dan with the Golden Gate in the Distance.","BD-GG1-PL","
Greeting Card With White Envelope","","","Category1","Plain Prints","Category2","Art Cards","","","0.1","","100","deny","manual","3","","1","1","","BD-GG1-A.jpg","","","","BD-GG1-B.jpg","lb","","","",""
"BD-SG-PL","Rock Sculpture by Bill Dan Card","Free-Standing Rock Sculpture With Seagull Landing, by Bill Dan","BD-SG-PL","
Greeting Card With Matching Envelope","Free-Standing rock sculpture, rocks, sculpture, bill dan, seagull","","Category1","Plain Cards","Category2","Nature Cards","","","0.1","","998","deny","manual","3.5","","1","1","","BD-SG347.jpg","","","","BD-SG-B.jpg","lb","","","",""
"BL-ROS-PL","Blush Rose Card","Greeting Card With White Envelope","BL-ROS-PL","","Rose, Pink Rose, Blush Rose, Flowers","","Category1","Plain Cards","Category2","","","","0.1","","1000","deny","manual","3","","1","1","","BL-ROS-A.jpg","","","","BL-ROS-B.jpg","lb","","","",""
"BRA-SWA-PL","Lord Brahma Card","Lord Brahma, Creator of The Universe, Riding His Swan Card","BRA-SWA-PL","Greeting Card With Matching Envelope","Lord Brahma, Brahma, Hindu Trinity, Hindu Creator, Swan, Lord Brahma Riding a Swan","","Category1","Plain Cards","Category2","Hindu Cards","","","0.1","","94","deny","manual","3.5","","1","1","","BRA-SWA969.jpg","","","","BRA-SWAb968.jpg","lb","","","",""
"WT-CL-EMB-PR","White Tara Embellished Print","Goddess of Health, Long Life and Prosperity - Tara was born of a tear of Avalokiteshwara. She is the Mother of Compassion who answers all prayers. Tara appears in as many as 21 different forms and colors, of which White and Green are the oldest. Tara offers health, long life, growth, prosperity and protection to all who call on her.","WT-CL-EMB-PR","
Custom Print, Hand-Embellished With Glitter and Crystals","White Tara, Goddess Tara, Buddhist Mother of Compassion, Goddess of Compassion, Tara, Buddhist Goddess","","Category1","Embellished Prints","Category2","Buddhist Prints","","","0.5","","100","deny","manual","24","","1","1","","WT-CL-EMB4352.jpg","","","","","lb","","","",""
"WT-CL-EMB-PR","","","","
Custom Print, Hand-Embellished With Glitter and Crystals","","","Category1","Embellished Prints","Category2","Buddhist Prints","","","0.5","","100","deny","manual","30","","1","1","","WT-CL-EMB4352.jpg","","","","","lb","","","",""
"BRAM-PL","Lord Brahma Card","Lord Brahma Creator of The Universe Card","BRAM-PL","
Greeting Card With Matching Envelope","Lord Brahma, Hindu Lord of Creation, Brahma, Brahm, Supreme Being, God of gods, swan vehicle, birds, universal mind, generator of mankind, creator of the universe","","Category1","Plain Cards","Category2","Hindu Cards","","","0.1","","92","deny","manual","3.5","","1","1","","BRAM970.jpg","","","","BRAMb971.jpg","lb","","","",""
"MAR-HT-1-EMB","Mary Embellished Card","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope","MAR-HT-1-EMB","","","","Category1","Embellished Cards","Category2","Christian Cards","","","0.1","","100","deny","manual","7.8","","1","1","","MAR-HT-1-EMB.jpg","","","","MAR-HT-1-B.jpg","lb","","","",""
